subject_num,iteration,c7_disp/cm,sa_disp/cm,time/s,accuracy/cm,cost
1,1,-0.704211606934638,0.918328805060441,2.42,0.39,0.421663897101869
1,2,-1.78892728398487,1.23483240401219,2.25,0.21,0.762405532999263
1,3,-1.47628360962554,1.09014745997393,1.87,0.39,0.594210742243807
1,4,-1.57832652485352,1.35341940130533,2.01,0.32,0.915872037914833
1,5,-1.95241036987397,1.56740970223973,3.88,0.23,1.22838658733762
1,6,-2.30021376076065,2.46233569798085,2.55,0.24,3.03154854477543
1,7,-2.69230691583649,2.97071995712872,2.45,0.26,4.41258853184143
1,8,-2.30805744004504,4.76390819660727,2.2,0.34,11.347410652851
1,9,-0.667563951336224,4.70552444603734,2.25,0.44,11.0709801561275
1,10,-2.30021376076065,4.31614020888612,2.17,0.21,9.31453315138174
1,11,-1.02878195527797,3.86769261943204,1.96,0.51,7.47952309920456
1,12,-1.28656865046292,4.39382456241109,3.02,0.45,9.6528471426235
1,13,-0.586414030127044,4.507266076428,2.13,0.27,10.1577237418593
1,14,-1.73791561886024,4.66012820309224,1.93,0.18,10.8583974346279
1,15,-0.494790872544816,4.29573250512779,2.13,0.24,9.22665887780573
1,16,0.267033808337346,4.00887723609581,2.35,0.35,8.03554834704358
1,17,-0.400547773984299,4.40935006563303,2.61,0.39,9.72118400064902
1,18,-2.28714080636351,5.23118376384808,2.14,0.49,13.6826417855739
1,19,-1.21983570558424,5.54673134952355,2.6,0.36,15.3831143318937
1,20,-1.96287243144012,5.26703273366001,2.1,0.38,13.870816908723
1,21,-1.26563312251491,4.72627910507662,2.22,0.38,11.1688570895419
1,22,-0.676725907703133,3.64682407454892,2.01,0.32,6.64966291535478
1,23,-0.824621912824629,4.21598416319459,3.88,0.23,8.88726123215378
1,24,-1.52992253304836,2.99592522244861,2.55,0.24,4.48778396925188
1,25,-0.886133648466357,4.79572904946066,2.45,0.26,11.4995085579204
1,26,-1.28526018808393,4.22279571988819,2.2,0.34,8.91600184595299
1,27,-0.802372601560237,4.2296065762427,2.25,0.44,8.94478589489774
1,28,-2.02564254875384,5.91681899005827,2.17,0.21,17.5043734805571
1,29,-0.612591645183724,4.9954049698987,1.96,0.51,12.4770354066443
1,30,-2.95881496704457,3.69046101818065,3.02,0.45,6.80975126335547
2,1,-0.499417139206171,4.13034550467144,1.75,0.43,8.52987699397977
2,2,-0.626381253915732,4.73167573974753,1.48,0.18,11.1943776530577
2,3,-0.804123607103332,3.8401627304304,1.65,0.14,7.37342489809333
2,4,0.225728434979578,4.34412656389563,1.59,0.28,9.43571780157181
2,5,-0.316018713687594,3.70818723194485,1.25,0.32,6.8753262735794
2,6,-0.685629757844589,5.40808830786189,1.35,0.35,14.6237095728163
2,7,-0.839388738584474,5.02111675084504,1.49,0.38,12.6058067128083
2,8,-0.632024010248037,4.33901543279242,1.34,0.29,9.4135274630054
2,9,-0.812587278145591,4.19407779579613,1.4,0.18,8.79514427859505
2,10,-1.03686474296171,5.05602347135027,1.39,0.1,12.7816866714224
2,11,-1.10879832957737,4.44118108469377,1.33,0.3,9.86204471352088
2,12,-0.550203244575562,4.65476349657439,1.42,0.13,10.8334116045207
2,13,-1.18496064040368,4.29413833662534,1.31,0.06,9.21981202703774
2,14,-0.973392031004061,4.35491575136273,1.32,0.32,9.48264560073361
2,15,-1.0326332829014,4.34583020811583,1.43,0.36,9.44312009888605
2,16,-0.976213076645177,4.19578430157609,1.47,0.08,8.80230295267618
2,17,-0.746287879483413,4.35150878308804,1.62,0.35,9.46781434464617
2,18,-1.36266100398019,4.27424881587989,1.42,0.04,9.13460147002531
2,19,-0.849262896652538,3.99818992339034,1.19,0.05,7.99276133175004
2,20,-1.0664847404865,4.22649592910777,1.48,0.29,8.93163391938228
2,21,-1.40073735307662,3.8127533241489,1.76,0.23,7.26854395540425
2,22,0.702557717722412,4.24014219844109,2.62,0.36,8.98940293150043
2,23,0.935307596286058,4.03181595920998,1.79,0.15,8.12776996447016
2,24,1.92947576449135,4.89091819401597,1.82,0.28,11.9605403902782
2,25,2.38753227076716,5.27970559061468,1.63,0.14,13.937645561784
2,26,1.89564271457464,5.28531675609317,1.52,0.37,13.9672866061196
2,27,2.6805790274645,5.35597896588149,1.59,0.26,14.3432553414825
2,28,3.30014913664323,5.87580178264845,1.41,0.24,17.2625232944873
2,29,2.7129774059488,5.91082636028162,1.44,0.17,17.4689341307
2,30,2.55520021498519,5.9791503587918,1.58,0.19,17.87511950652
3,1,-1.45714358617722,3.83347314785613,2.01,0.42,7.34775818766701
3,2,-0.820267950068106,3.35427445131997,2.13,0.24,5.62557854738893
3,3,-1.09946880462525,4.16413688560985,2.57,0.32,8.67001800104825
3,4,-0.0581776286057914,4.109115082044,2.39,0.7,8.44241337874073
3,5,-1.49203498693405,4.35480742752587,2.84,0.7,9.48217386541724
3,6,-0.727194882579129,3.37712022432357,2.57,0.39,5.70247050476764
3,7,-0.936605248742657,4.35803520903881,2.58,0.32,9.49623544161099
3,8,-0.738829160463022,3.68394650751176,2.54,0.36,6.78573093510405
3,9,-0.872620321864176,3.400504721792,2.12,0.19,5.78171618146485
3,10,-1.39608193617844,3.63676343157226,2.26,0.21,6.61302412861061
3,11,-1.38735867108734,3.66767913123681,2.63,0.39,6.725935104855
3,12,-1.68392423645567,3.42986375976064,2.31,0.44,5.8819827052597
3,13,-1.64176877927098,3.18822256671242,1.9,0.36,5.08238156744716
3,14,-0.244345122701228,3.34176154709384,2.51,0.21,5.5836851188175
3,15,-0.820267950068099,3.24378324941275,2.81,0.47,5.26106488458536
3,16,-1.14309106141996,3.43964822869403,2.17,0.19,5.915589968579
3,17,-0.218165464237329,3.66767913123681,2.61,0.63,6.725935104855
3,18,-0.11344630404199,3.06883632053257,2.45,0.42,4.70887818110993
3,19,-1.40771289010074,2.93731318714209,2.72,0.62,4.31390437967941
3,20,-0.820267950068099,3.95032212553743,2.22,0.49,7.80252244775527
3,21,-0.986047101345825,3.87243985044981,2.7,0.41,7.49789519767587
3,22,-1.07329504652151,3.56133076706237,2,0.45,6.34153841621252
3,23,-0.655934094727954,4.17060763824483,2.65,0.3,8.69698403609305
3,24,-1.10819332403072,4.21265510835726,2.31,0.14,8.87323153098426
3,25,-1.68392423645567,4.14094586101001,2.53,0.22,8.57371631190799
3,26,-1.30884741539366,4.42901264163923,2.65,0.34,9.80807648990004
3,27,-1.36118862330877,4.11451098375589,2.45,0.32,8.46460031772394
3,28,-1.13872887436547,4.30798973820985,2.56,0.24,9.27938779226068
3,29,-0.750463398336177,4.13501223121736,2.34,0.37,8.54916307615859
3,30,-0.637027941794408,4.08644850332515,2.15,0.11,8.3495306851642
